Participant_ID,trialN,blockN,moveCount,movesTrial,reward,RT,time_out,sequence_ID
1,11.0,10.0,4.0,"[0, 1, 1, 0]",98.0,1021.5799999996088,0,4.0
1,12.0,10.0,4.0,"[0, 1, 1, 0]",96.0,868.1400000001304,0,4.0
1,13.0,10.0,4.0,"[0, 1, 1, 0]",94.0,1082.1000000000931,0,4.0
1,14.0,10.0,4.0,"[0, 1, 1, 0]",96.0,808.9400000004098,0,4.0
1,15.0,10.0,4.0,"[0, 1, 1, 0]",100.0,765.5399999995716,0,4.0
1,16.0,10.0,4.0,"[0, 1, 1, 0]",84.0,807.1999999992549,0,4.0
1,17.0,10.0,4.0,"[0, 1, 1, 0]",86.0,928.1999999997207,0,4.0
1,18.0,10.0,4.0,"[0, 1, 1, 0]",88.0,1123.220000000205,0,4.0
1,19.0,10.0,4.0,"[0, 1, 1, 0]",90.0,995.3400000003166,0,4.0
1,0.0,11.0,4.0,"[0, 1, 1, 0]",98.0,1001.679999999702,0,4.0
1,1.0,11.0,4.0,"[0, 1, 1, 0]",92.0,789.5200000000186,0,4.0
1,2.0,11.0,4.0,"[0, 1, 1, 0]",94.0,883.5400000000373,0,4.0
1,3.0,11.0,4.0,"[0, 1, 1, 0]",100.0,858.1599999996834,0,4.0
1,4.0,11.0,4.0,"[0, 1, 1, 0]",82.0,926.160000000149,0,4.0
1,5.0,11.0,4.0,"[0, 1, 1, 0]",80.0,1112.2199999997392,0,4.0
1,6.0,11.0,4.0,"[0, 1, 1, 0]",76.0,807.6200000001118,0,4.0
1,7.0,11.0,4.0,"[0, 0, 1, 1]",38.0,1729.220000000205,0,0.0
1,8.0,11.0,4.0,"[0, 1, 1, 1]",54.0,2966.2000000001867,0,5.0
1,9.0,11.0,4.0,"[1, 0, 0, 1]",20.0,5408.14000000013,0,10.0
1,10.0,11.0,4.0,"[0, 0, 1, 1]",22.0,4604.560000000056,0,0.0
1,11.0,11.0,4.0,"[1, 0, 0, 1]",36.0,3634.8000000002794,0,10.0
1,12.0,11.0,4.0,"[1, 1, 0, 0]",0.0,2601.3000000002794,0,16.0
1,13.0,11.0,4.0,"[2, 1, 1, 2]",18.0,3359.6400000001304,0,31.0
1,14.0,11.0,4.0,"[2, 1, 1, 1]",56.0,2626.1400000001304,0,30.0
1,15.0,11.0,4.0,"[1, 1, 2, 2]",8.0,4113.079999999609,0,19.0
